iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,desc_user_fullname,64,False,0.53,0.53149662487946,0.53,0.5028798185941044,0.5529276409414341
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc_user_fullname,64,True,0.49,0.543062937062937,0.49,0.46049019607843134,0.5503114395183362
1,target_population,3,50,13,37,13,K-Fold,5,SVM,desc_user_fullname,64,False,0.5,0.43053171641791044,0.5,0.4578372352285396,0.5405195402298851
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc_user_fullname,64,True,0.52,0.5578471177944863,0.52,0.5062037253526614,0.3960205801860975
1,target_population,3,50,13,37,13,LOOCV,,SVM,desc_user_fullname,64,False,0.34,0.2611904761904762,0.34,0.2914401008827238,0.33092063492063495
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc_user_fullname,64,True,0.4,0.4117918592706728,0.4,0.3867835628227194,0.5081347016967707
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,desc_user_fullname,64,False,0.48,0.4075,0.48,0.37165079365079373,0.5378505747126436
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc_user_fullname,64,True,0.39,0.45595238095238094,0.39,0.3291995221027479,0.42371778872468524
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,desc_user_fullname,64,False,0.51,0.38252525252525255,0.51,0.3541418983700863,0.47339430760810075
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc_user_fullname,64,True,0.42,0.5446363636363637,0.42,0.36567135050741606,0.5202894362342638
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,desc_user_fullname,64,False,0.46,0.49359038662486937,0.46,0.4343717995985416,0.5489065681444992
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc_user_fullname,64,True,0.47,0.5664269406392693,0.47,0.4224307692307693,0.41942287903667214
1,target_population,3,50,13,37,13,LOOCV,,XGBoost,desc_user_fullname,64,False,0.52,0.5831115459882583,0.52,0.47445454545454546,0.37186119321291744
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,numeric,11,True,0.64,0.6689767441860465,0.64,0.6493743890518084,0.7502180623973729
1,target_population,3,50,13,37,13,K-Fold,5,LogReg,numeric,11,False,0.67,0.6678713811105839,0.67,0.6646121933621933,0.7472275862068964
1,target_population,3,50,13,37,13,LOOCV,,LogReg,numeric,11,True,0.62,0.6423391812865498,0.62,0.6280357786589762,0.7533296113847838
1,target_population,3,50,13,37,13,LOOCV,,LogReg,numeric,11,False,0.66,0.6549087301587302,0.66,0.6511851667496267,0.7347547892720308
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,numeric,11,True,0.57,0.5722130503144655,0.57,0.5695691370680818,0.6414176245210728
1,target_population,3,50,13,37,13,K-Fold,5,DecisionTree,numeric,11,False,0.55,0.5546778656126483,0.55,0.5495692431561996,0.6229775588396278
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,numeric,11,True,0.56,0.5578451178451178,0.56,0.5577802197802199,0.6314176245210729
1,target_population,3,50,13,37,13,LOOCV,,DecisionTree,numeric,11,False,0.58,0.5723690476190477,0.58,0.5747864275044084,0.6532293377120962
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,numeric,11,True,0.61,0.5786342694164107,0.61,0.586808680753855,0.7747599343185549
1,target_population,3,50,13,37,13,K-Fold,5,RandomForest,numeric,11,False,0.63,0.5586906290115532,0.63,0.5921782890007189,0.7721655719759168
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,numeric,11,True,0.57,0.524830053667263,0.57,0.5460833333333333,0.751803448275862
1,target_population,3,50,13,37,13,LOOCV,,RandomForest,numeric,11,False,0.59,0.5594321653189579,0.59,0.5700349569183291,0.7599297755883964
1,target_population,3,50,13,37,13,K-Fold,5,SVM,numeric,11,True,0.64,0.6798923444976077,0.64,0.6505904761904762,0.7812248494800218
1,target_population,3,50,13,37,13,K-Fold,5,SVM,numeric,11,False,0.65,0.6534308510638297,0.65,0.6451378446115288,0.7577241379310344
1,target_population,3,50,13,37,13,LOOCV,,SVM,numeric,11,True,0.64,0.672363836420319,0.64,0.648527558715794,0.7500132457580733
1,target_population,3,50,13,37,13,LOOCV,,SVM,numeric,11,False,0.62,0.6262003968253969,0.62,0.6145417956656347,0.7202036124794745
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,numeric,11,True,0.65,0.6602777777777779,0.65,0.654357822486576,0.7234942528735633
1,target_population,3,50,13,37,13,K-Fold,5,AdaBoost,numeric,11,False,0.61,0.60625,0.61,0.6070355731225296,0.6695558292282431
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,numeric,11,True,0.63,0.6487417582417582,0.63,0.6326236116824353,0.683488122605364
1,target_population,3,50,13,37,13,LOOCV,,AdaBoost,numeric,11,False,0.6,0.5914886877828054,0.6,0.5949865192468904,0.7088907498631637
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,numeric,11,True,0.59,0.563316276803119,0.59,0.5753501831501832,0.7316782703886153
1,target_population,3,50,13,37,13,K-Fold,5,XGBoost,numeric,11,False,0.6,0.5420512820512821,0.6,0.5693507132316773,0.727551395730706
