iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC,n_labeled_users
1,target_population,2,50,13,0,13,K-Fold,5,SVM,desc+numeric,62,False,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.8907692307692308,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,desc+numeric,62,True,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.8307692307692307,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,desc+numeric,62,False,0.8253968253968254,0.8206504824151883,0.8253968253968254,0.8227691340562628,0.8584615384615385,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,desc+numeric,62,True,0.7619047619047619,0.7687074829931972,0.7619047619047619,0.7651114317780984,0.8030769230769231,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,desc+numeric,62,False,0.7936507936507936,0.7669552669552668,0.7936507936507936,0.7739984882842025,0.7984615384615384,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,desc+numeric+iran,82,True,0.873015873015873,0.8816137566137566,0.873015873015873,0.8762552640103661,0.8923076923076924,100
1,target_population,2,50,13,0,13,K-Fold,5,LogReg,desc+numeric+iran,82,False,0.9047619047619048,0.9014319014319013,0.9047619047619048,0.9017273576097105,0.896923076923077,100
1,target_population,2,50,13,0,13,K-Fold,5,DecisionTree,desc+numeric+iran,82,True,0.7619047619047619,0.7687074829931972,0.7619047619047619,0.7651114317780984,0.6507692307692309,100
1,target_population,2,50,13,0,13,K-Fold,5,DecisionTree,desc+numeric+iran,82,False,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7092307692307691,100
1,target_population,2,50,13,0,13,K-Fold,5,RandomForest,desc+numeric+iran,82,True,0.9047619047619048,0.9014319014319013,0.9047619047619048,0.9017273576097105,0.9107692307692308,100
1,target_population,2,50,13,0,13,K-Fold,5,RandomForest,desc+numeric+iran,82,False,0.8571428571428571,0.85421888053467,0.8571428571428571,0.8354999648654347,0.9338461538461538,100
1,target_population,2,50,13,0,13,K-Fold,5,SVM,desc+numeric+iran,82,True,0.8412698412698413,0.8513227513227511,0.8412698412698413,0.8453190800129575,0.8230769230769232,100
1,target_population,2,50,13,0,13,K-Fold,5,SVM,desc+numeric+iran,82,False,0.873015873015873,0.8816137566137566,0.873015873015873,0.8762552640103661,0.8323076923076924,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,desc+numeric+iran,82,True,0.873015873015873,0.8659611992945326,0.873015873015873,0.8639138639138639,0.7984615384615384,100
1,target_population,2,50,13,0,13,K-Fold,5,AdaBoost,desc+numeric+iran,82,False,0.873015873015873,0.8659611992945326,0.873015873015873,0.8639138639138639,0.8392307692307693,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,desc+numeric+iran,82,True,0.8571428571428571,0.8474025974025974,0.8571428571428571,0.8435374149659864,0.8461538461538463,100
1,target_population,2,50,13,0,13,K-Fold,5,XGBoost,desc+numeric+iran,82,False,0.8412698412698413,0.8276643990929704,0.8412698412698413,0.8219526804432465,0.836923076923077,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,numeric,11,True,0.84,0.9094183864915572,0.84,0.8669812462189959,0.8705780503690838,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,numeric,11,False,0.94,0.9170833333333333,0.94,0.9266382978723403,0.8736001953973078,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,numeric,11,True,0.93,0.9271703296703296,0.93,0.9276658860265418,0.7914405123751628,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,numeric,11,False,0.94,0.9328571428571429,0.94,0.9361538461538461,0.796759661311333,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,numeric,11,True,0.93,0.9165789473684209,0.93,0.9215614973262031,0.7680465696917065,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,numeric,11,False,0.94,0.9236734693877551,0.94,0.9209473684210526,0.8063634389926183,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,numeric,11,True,0.82,0.8951219512195121,0.82,0.8514942528735632,0.8304977203647417,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,numeric,11,False,0.92,0.8925,0.92,0.9048510638297873,0.7526340642640035,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,numeric,11,True,0.92,0.94,0.92,0.9279999999999999,0.7017716022579245,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,numeric,11,False,0.94,0.9320833333333333,0.94,0.9306382978723404,0.578070722970039,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,numeric,11,True,0.91,0.9218947368421052,0.91,0.9057219251336899,0.7944569583152411,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,numeric,11,False,0.92,0.9142857142857143,0.92,0.8984060150375939,0.6946303734259661,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,numeric+iran,31,True,0.91,0.9275604395604395,0.91,0.9183904619970192,0.7831676074685192,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,numeric+iran,31,False,0.94,0.9170833333333333,0.94,0.9266382978723403,0.7832647633521493,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,numeric+iran,31,True,0.9,0.9,0.9,0.9,0.6613384715588363,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,DecisionTree,numeric+iran,31,False,0.92,0.9104301075268818,0.92,0.9151891891891892,0.7289405123751628,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,numeric+iran,31,True,0.94,0.9288510638297872,0.94,0.9339589442815249,0.8177279635258359,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,RandomForest,numeric+iran,31,False,0.95,0.9325773195876289,0.95,0.9356613756613755,0.8597242726877985,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,numeric+iran,31,True,0.9,0.9271111111111111,0.9,0.913086913086913,0.7292151541467651,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,SVM,numeric+iran,31,False,0.95,0.9292631578947368,0.95,0.9390374331550803,0.7032794181502388,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,numeric+iran,31,True,0.9,0.9059999999999999,0.9,0.9027272727272727,0.6367553191489361,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,AdaBoost,numeric+iran,31,False,0.94,0.9320833333333333,0.94,0.9306382978723404,0.6603313612679114,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,numeric+iran,31,True,0.91,0.9155376344086023,0.91,0.9112432432432432,0.8305340859748155,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,XGBoost,numeric+iran,31,False,0.92,0.8925,0.92,0.9048510638297873,0.8640539513677811,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,desc+numeric,62,True,0.84,0.9094183864915572,0.84,0.8669812462189959,0.8677675857577073,100
1,locals_vs_diaspora,3,2,6,92,2,K-Fold,5,LogReg,desc+numeric,62,False,0.94,0.9170833333333333,0.94,0.9266382978723403,0.8693356491532783,100
