username,display_name,followers_count,following_count,statuses_count,followers_following_ratio,bio_length,account_age_years,verified_flag,network_degree,bio_mentions_iran,cluster
a16zcrypto,a16z crypto,0.0,511.0,7127.0,0.0,158,4.120465434633813,0,1,0,3
a1976_b,Amir.B,21.0,233.0,302.0,0.08974358974358974,0,15.039014373716633,0,1,0,0
a2bdullah_,Abdullah_AL lime,0.0,13.0,0.0,0.0,0,0.6187542778918549,0,1,0,0
a5sp3,عباس فاضل,1.0,12.0,0.0,0.07692307692307693,0,0.8678986995208761,0,1,0,0
a60968h,Amin,0.0,15.0,0.0,0.0,0,0.7008898015058179,0,1,0,0
a8484aviv,אביב AVIV 🇮🇱,3028.0,7496.0,0.0,0.4038948912898493,17,12.120465434633813,0,1,0,5
a9b9e3m1,Ali Erfani,1.0,83.0,0.0,0.011904761904761904,0,5.204654346338125,0,1,0,0
aa1915898,احمدعلام صيادالبحار,9.0,312.0,4.0,0.02875399361022364,4,1.6180698151950719,0,1,0,0
aa51_ansari,Ali Ansari,7637.0,931.0,3221.0,8.194206008583691,27,8.700889801505818,0,1,0,5
aaaaaaav69,Sasasaa,51.0,245.0,405.0,0.2073170731707317,0,1.8672142368240932,0,1,0,0
aaaarrisbs,Ario Zalipour,0.0,3.0,0.0,0.0,0,0.785763175906913,0,1,0,0
aaalirz,AliR Electrical engineering 💚🤍❤️,694.0,3790.0,0.0,0.1830651543128462,143,8.867898699520875,0,1,1,4
aaction414,dominika janik,700.0,7498.0,553.0,0.0933457794372583,143,1.78507871321013,0,1,0,5
aadianjana6567,Aadi Anjana,223.0,2578.0,17.0,0.08646762310973245,49,0.8678986995208761,0,1,0,5
aadilsultanx,A@dil $ultan,337.0,4781.0,186.0,0.07047260560434965,0,7.701574264202601,0,1,0,5
aafifrakin,Aafif Moinul Rakin,0.0,18.0,4.0,0.0,0,1.1197809719370295,0,1,0,0
aahassas,PishGoo,126.0,225.0,3222.0,0.5575221238938053,40,17.11978097193703,0,1,0,1
